"id";"user_id";"music_id";"timestamp";"duration";"platform"
"H000145526";"U0000774";"S0005420";"2022/07/15 08:43:54";"00::01:38";"paper"
"H000145346";"U0000193";"S0003290";"2024/04/01 18:38:37";"00000000:04:26";"paper"
"H000132139";"U0000558";"S0006565";"2022/09/16 01:23:06";"00::04:57";"web"
"H000145964";"U0000845";"S0004020";"2019/08/09 01:30:01";"000439";"web"
"H000137677";"U0000455";"S0002880";"2023/11/15 01:32:16";"00000000:04:56";"vinyl"
"H000142380";"U0000918";"S0003555";"2024/01/31 04:32:29";"00:04";"vinyl"
"H000145292";"U0000176";"S0003965";"2023/07/15 20:45:49";"000314";"vinyl"
"H000130846";"U0000489";"S0003901";"2022/02/20 21:25:35";"000404";"vinyl"
"H000137686";"U0000007";"S0003798";"2018/10/20 01:16:38";"00000:04:45";"paper"
"H000149387";"U0000660";"S0004710";"2019/06/22 01:49:53";"00000000:04:53";"vinyl"
"H000131461";"U0000845";"S0000193";"2019/12/03 05:47:59";"00:01";"web"
"H000138286";"U0000456";"S0007627";"2021/03/12 14:45:22";"00000:03:48";"paper"
"H000132874";"U0000956";"S0007216";"2019/07/23 10:42:33";"000420";"web"
"H000141970";"U0000613";"S0008837";"2023/08/31 01:48:02";"00::02:30";"vinyl"
"H000142540";"U0000795";"S0000797";"2019/01/23 00:11:14";"000316";"paper"
"H000142440";"U0000952";"S0006504";"2019/12/27 13:28:42";"00000000:04:18";"vinyl"
"H000137348";"U0000079";"S0005041";"2019/02/23 23:29:53";"00000000:01:41";"vinyl"
"H000138621";"U0000022";"S0002656";"2020/10/19 13:46:14";"00::04:59";"vinyl"
"H000136450";"U0000220";"S0003457";"2024/03/12 03:33:07";"00:02";"paper"
"H000146499";"U0000473";"S0001391";"2022/01/23 00:38:58";"00000:01:48";"paper"
"H000138210";"U0000722";"S0001849";"2024/07/09 19:20:07";"00:01";"paper"
"H000148014";"U0000146";"S0006601";"2020/05/26 19:22:25";"00000:04:36";"vinyl"
"H000139649";"U0000679";"S0006605";"2019/10/06 03:09:27";"00000:01:47";"paper"
"H000142254";"U0000155";"S0003267";"2019/10/06 17:25:31";"00000:04:41";"web"
"H000133063";"U0000561";"S0001795";"2022/12/16 10:15:28";"00:01";"web"
"H000135251";"U0000534";"S0008537";"2023/02/08 20:33:59";"00000:01:52";"vinyl"
"H000143848";"U0000354";"S0003942";"2021/02/12 01:05:17";"00::02:01";"paper"
"H000131584";"U0000071";"S0002076";"2022/02/08 20:45:18";"00000000:04:06";"vinyl"
"H000130295";"U0000663";"S0008054";"2020/05/26 07:18:22";"000215";"vinyl"
"H000141744";"U0000622";"S0009264";"2019/02/10 06:49:24";"00::04:21";"web"
"H000134929";"U0000385";"S0000441";"2023/11/05 15:22:56";"00::04:00";"vinyl"
"H000146307";"U0000592";"S0003825";"2018/09/28 06:23:13";"000235";"vinyl"
"H000147604";"U0000199";"S0005665";"2020/11/25 22:06:05";"00000000:01:37";"paper"
"H000148709";"U0000435";"S0006638";"2024/08/19 15:14:58";"00:02";"paper"
"H000137241";"U0000792";"S0003257";"2021/03/31 23:12:02";"00000:01:21";"web"
"H000147273";"U0000983";"S0004473";"2024/07/02 12:17:24";"00::03:53";"paper"
"H000144008";"U0000145";"S0003732";"2019/02/08 06:35:48";"00:04";"paper"
"H000141125";"U0000043";"S0004181";"2021/12/08 23:14:56";"00000000:04:41";"web"
"H000139348";"U0000038";"S0000897";"2024/01/08 04:30:48";"00000000:03:25";"paper"
"H000145929";"U0000022";"S0003557";"2019/12/31 02:55:23";"00000000:02:50";"paper"
"H000140140";"U0000441";"S0000021";"2021/02/20 01:52:32";"00000:03:22";"paper"
"H000136166";"U0000377";"S0005310";"2022/10/07 08:18:48";"00::03:20";"vinyl"
"H000131518";"U0000252";"S0001090";"2021/11/10 09:39:24";"000124";"paper"
"H000141105";"U0000070";"S0009251";"2022/01/26 04:37:41";"00000000:02:40";"vinyl"
"H000145890";"U0000817";"S0007877";"2020/10/26 04:11:53";"00::04:14";"web"
"H000146125";"U0000223";"S0002482";"2023/11/03 20:30:51";"00::04:10";"web"
"H000140652";"U0000924";"S0003526";"2019/03/08 05:17:15";"00::02:47";"vinyl"
"H000138111";"U0000463";"S0003226";"2019/06/15 10:39:29";"00::02:20";"paper"
"H000133481";"U0000849";"S0003095";"2022/03/27 23:05:59";"00000:02:58";"vinyl"
"H000132298";"U0000945";"S0009954";"2024/05/12 12:16:56";"00000000:01:40";"web"
"H000140590";"U0000984";"S0003551";"2021/07/09 11:05:51";"00::02:17";"paper"
"H000143330";"U0000580";"S0000775";"2024/02/01 23:40:23";"00::03:13";"vinyl"
"H000130668";"U0000660";"S0005759";"2018/11/29 20:28:49";"00:04";"web"
"H000131490";"U0000922";"S0008169";"2021/08/16 14:35:05";"00000:02:40";"paper"
"H000141500";"U0000202";"S0004448";"2024/08/24 22:49:05";"00000000:02:01";"web"
"H000137573";"U0000526";"S0009686";"2023/10/05 01:08:21";"00000000:03:32";"paper"
"H000146256";"U0000940";"S0005206";"2022/04/11 22:37:49";"00000:01:47";"vinyl"
"H000142060";"U0000912";"S0002126";"2018/08/02 00:47:55";"00:04";"web"
"H000149172";"U0000060";"S0005753";"2023/04/27 04:58:02";"00::04:03";"vinyl"
"H000131928";"U0000696";"S0001730";"2021/10/07 01:39:31";"00:04";"paper"
"H000144788";"U0000186";"S0006547";"2019/12/23 04:08:40";"00000:04:40";"paper"
"H000137993";"U0000618";"S0001626";"2021/08/27 15:01:14";"00000:02:18";"vinyl"
"H000132877";"U0000555";"S0001185";"2024/05/24 19:04:12";"00:02";"vinyl"
"H000131162";"U0000026";"S0004411";"2022/03/20 16:47:35";"00:02";"vinyl"
"H000137842";"U0000516";"S0007993";"2020/06/22 10:01:33";"00000:03:05";"vinyl"
"H000145008";"U0000904";"S0006945";"2019/01/22 12:47:26";"00:04";"web"
"H000147735";"U0000815";"S0001754";"2022/04/13 13:20:19";"00000000:02:39";"web"
"H000149065";"U0000300";"S0007282";"2021/09/07 18:07:34";"00::04:20";"web"
"H000142622";"U0000714";"S0003332";"2024/04/20 21:21:52";"00000000:02:41";"web"
"H000141540";"U0000492";"S0004554";"2019/08/13 17:18:59";"00::03:13";"web"
"H000132183";"U0000722";"S0006794";"2019/04/22 11:18:12";"00:03";"paper"
"H000143832";"U0000461";"S0009842";"2021/10/01 22:11:38";"00::03:14";"paper"
"H000140939";"U0000838";"S0009993";"2019/12/22 21:09:00";"00000:04:00";"web"
"H000148527";"U0000806";"S0005076";"2020/03/29 14:49:13";"00::03:19";"paper"
"H000142566";"U0000358";"S0007486";"2023/10/20 14:53:04";"00000:01:49";"vinyl"
"H000131429";"U0000589";"S0007530";"2020/07/07 09:54:26";"00000000:03:39";"vinyl"
"H000130893";"U0000122";"S0002211";"2018/12/22 01:28:45";"00000000:01:56";"web"
"H000143899";"U0000276";"S0000204";"2020/05/26 18:03:29";"00:04";"web"
"H000143893";"U0000707";"S0001785";"2019/08/30 09:37:16";"000243";"web"
"H000146399";"U0000389";"S0005551";"2018/06/02 03:07:09";"000239";"vinyl"
"H000138101";"U0000981";"S0005246";"2021/07/22 00:02:53";"00::04:50";"web"
"H000145428";"U0000663";"S0008414";"2021/07/10 22:22:48";"00:02";"vinyl"
"H000133085";"U0000499";"S0003808";"2024/04/08 19:12:53";"000135";"paper"
"H000133962";"U0000563";"S0007466";"2019/12/06 18:04:54";"00000:03:42";"web"
"H000141167";"U0000819";"S0000365";"2023/12/01 01:14:42";"000122";"web"
"H000137551";"U0000088";"S0007030";"2020/07/11 07:03:19";"00:01";"paper"
"H000134492";"U0000682";"S0006302";"2021/07/01 10:21:43";"00000000:04:28";"web"
"H000135639";"U0000264";"S0002589";"2024/07/11 23:33:04";"00000000:03:43";"web"
"H000142122";"U0000723";"S0002647";"2020/03/03 18:12:06";"00:03";"paper"
"H000137178";"U0000637";"S0009051";"2020/11/30 08:31:10";"00000:04:52";"paper"
"H000136826";"U0000053";"S0008853";"2021/04/30 23:03:11";"00000000:02:57";"web"
"H000146875";"U0000289";"S0001166";"2020/01/06 11:02:47";"000159";"web"
"H000137318";"U0000162";"S0008064";"2023/08/27 13:14:05";"00000:01:57";"paper"
"H000131736";"U0000460";"S0006318";"2021/02/23 14:15:40";"00::02:18";"web"
"H000148650";"U0000682";"S0003158";"2020/10/27 07:32:49";"00::01:48";"vinyl"
"H000132420";"U0000678";"S0009226";"2024/01/16 01:03:44";"00000000:04:50";"web"
"H000137343";"U0000985";"S0006076";"2019/01/17 11:15:47";"000447";"paper"
"H000132047";"U0000464";"S0007096";"2024/07/11 12:41:44";"00::01:24";"web"
"H000139562";"U0000934";"S0003967";"2023/02/25 23:02:10";"00000:03:37";"vinyl"
"H000146449";"U0000890";"S0007594";"2018/10/02 21:45:02";"00000:03:08";"web"
"H000144362";"U0000865";"S0004345";"2019/04/14 06:37:35";"00::02:57";"paper"
"H000139001";"U0000061";"S0004252";"2018/07/27 00:49:03";"00000000:01:48";"web"
"H000136605";"U0000050";"S0005417";"2022/12/05 07:47:25";"00:03";"paper"
"H000132964";"U0000638";"S0003012";"2020/09/21 13:50:55";"00000000:04:42";"paper"
"H000131364";"U0000109";"S0006477";"2019/03/16 19:11:58";"00000000:03:50";"paper"
"H000132908";"U0000650";"S0000991";"2018/07/03 21:44:40";"00000000:01:24";"vinyl"
"H000135055";"U0000536";"S0004306";"2021/03/24 03:26:52";"000401";"vinyl"
"H000138447";"U0000808";"S0000377";"2024/04/15 14:24:55";"00::04:34";"web"
"H000144110";"U0000062";"S0005271";"2021/08/30 13:23:51";"00000000:01:36";"paper"
"H000140465";"U0000113";"S0003341";"2022/05/03 00:46:46";"00:04";"paper"
"H000142305";"U0000378";"S0005730";"2021/05/24 16:31:30";"00000000:02:57";"paper"
"H000132291";"U0000724";"S0001168";"2019/01/11 07:33:59";"00000:01:55";"web"
"H000146201";"U0000174";"S0003604";"2018/10/30 23:01:31";"000230";"vinyl"
"H000133045";"U0000269";"S0003911";"2018/10/16 01:01:30";"00:02";"web"
"H000141686";"U0000811";"S0007311";"2022/11/30 18:25:07";"00000:03:51";"web"
"H000134546";"U0000486";"S0002775";"2019/09/12 10:46:53";"00000000:04:07";"web"
"H000131668";"U0000560";"S0001141";"2021/03/22 23:32:02";"00:01";"paper"
"H000141352";"U0000917";"S0005809";"2019/12/24 23:54:54";"00::01:44";"paper"
"H000141621";"U0000394";"S0007003";"2023/10/12 20:11:14";"00000:01:36";"paper"
"H000134095";"U0000932";"S0009552";"2021/12/16 01:23:01";"00000000:02:54";"vinyl"
"H000139991";"U0000384";"S0001797";"2020/08/10 17:34:46";"000453";"vinyl"
"H000146081";"U0000116";"S0006134";"2023/07/27 15:10:10";"00000000:02:57";"web"
"H000137209";"U0000596";"S0010000";"2019/07/12 07:44:23";"00:01";"web"
"H000135701";"U0000107";"S0004934";"2019/09/21 07:10:07";"00::04:33";"vinyl"
"H000134010";"U0000875";"S0002273";"2022/11/04 09:04:26";"00::01:53";"paper"
"H000141909";"U0000787";"S0003449";"2020/05/25 16:14:27";"00::03:25";"paper"
"H000139499";"U0000855";"S0004341";"2020/11/07 14:40:11";"00::01:33";"paper"
"H000148896";"U0000776";"S0009697";"2022/02/23 05:51:43";"00::01:45";"web"
"H000138160";"U0000638";"S0000342";"2024/08/17 01:37:06";"00::04:13";"vinyl"
"H000131822";"U0000232";"S0009472";"2022/01/24 19:49:23";"00:02";"vinyl"
"H000134290";"U0000248";"S0002590";"2024/07/09 12:46:46";"00000:01:59";"web"
"H000148494";"U0000701";"S0005310";"2022/04/26 22:35:11";"00:02";"vinyl"
"H000140582";"U0000216";"S0009825";"2020/05/12 06:49:52";"00000:03:58";"paper"
"H000143166";"U0000735";"S0004554";"2022/11/02 16:08:35";"000400";"vinyl"
"H000132679";"U0000192";"S0003673";"2023/04/12 12:25:16";"00000000:04:23";"vinyl"
"H000142425";"U0000108";"S0002740";"2023/08/18 20:46:37";"000336";"paper"
"H000138168";"U0000154";"S0009952";"2021/11/25 01:30:56";"00000:01:45";"web"
"H000131478";"U0000601";"S0007434";"2021/11/30 05:58:28";"00000000:03:15";"web"
"H000143169";"U0000916";"S0008181";"2019/04/29 19:27:50";"000204";"vinyl"
"H000132607";"U0000054";"S0000789";"2022/12/16 06:49:58";"00000:02:46";"vinyl"
"H000131160";"U0000103";"S0005778";"2022/10/24 09:26:48";"00::01:29";"web"
"H000143686";"U0000518";"S0008374";"2021/04/04 21:24:33";"00000:04:20";"vinyl"
"H000138933";"U0000557";"S0000714";"2019/03/22 18:24:31";"00000:02:08";"paper"
"H000136649";"U0000128";"S0007485";"2019/10/08 15:39:26";"00000000:01:38";"paper"
"H000147113";"U0000226";"S0003965";"2018/07/10 19:18:34";"00000:02:15";"paper"
"H000144559";"U0000739";"S0000611";"2022/02/03 06:06:39";"000437";"web"
"H000134899";"U0000471";"S0009224";"2020/03/19 00:40:07";"000226";"vinyl"
"H000137263";"U0000923";"S0009616";"2021/01/28 21:38:00";"000215";"web"
"H000138923";"U0000645";"S0000281";"2019/06/21 17:31:06";"00:02";"web"
"H000141582";"U0000912";"S0000348";"2021/08/04 15:01:30";"00000000:02:13";"web"
"H000146811";"U0000316";"S0008094";"2023/03/01 04:23:50";"000153";"web"
"H000140502";"U0000857";"S0008659";"2023/10/20 03:15:17";"00::02:49";"paper"
"H000139034";"U0000673";"S0009620";"2024/01/04 05:13:14";"000425";"web"
"H000135965";"U0000710";"S0005145";"2019/11/13 20:43:18";"00:04";"vinyl"
"H000132285";"U0000740";"S0007488";"2020/12/28 23:23:11";"000328";"web"
"H000145219";"U0000275";"S0002776";"2020/02/25 09:37:18";"00::01:38";"web"
"H000135120";"U0000033";"S0004809";"2022/01/04 10:00:39";"00000:04:29";"web"
"H000139342";"U0000700";"S0005477";"2023/09/11 23:03:05";"00000:02:31";"web"
"H000147927";"U0000117";"S0007047";"2022/02/26 20:44:52";"00::01:46";"web"
"H000145579";"U0000925";"S0003162";"2023/05/20 06:34:23";"00000:03:20";"vinyl"
"H000139468";"U0000490";"S0009778";"2019/08/08 00:57:54";"00:04";"vinyl"
"H000141176";"U0000669";"S0003279";"2021/02/22 11:15:33";"00::03:15";"paper"
"H000131662";"U0000286";"S0002663";"2020/02/01 12:27:22";"00000000:03:51";"web"
"H000134477";"U0000266";"S0002845";"2021/11/19 03:45:02";"00::03:49";"web"
"H000132951";"U0000866";"S0007745";"2022/09/09 23:51:38";"00000:03:16";"web"
"H000138859";"U0000865";"S0002899";"2024/04/23 07:05:50";"00:02";"web"
"H000132360";"U0000831";"S0007803";"2022/02/10 20:59:46";"000359";"paper"
"H000145284";"U0000697";"S0001950";"2024/06/21 06:56:00";"00000000:04:40";"web"
"H000145053";"U0000133";"S0000815";"2020/02/24 14:36:16";"00000000:01:51";"paper"
"H000143703";"U0000133";"S0002390";"2024/04/14 12:44:00";"000320";"vinyl"
"H000148439";"U0000769";"S0008612";"2023/01/31 07:07:18";"00000000:04:30";"paper"
"H000139204";"U0000609";"S0008582";"2021/04/14 15:54:01";"000435";"vinyl"
"H000140805";"U0000061";"S0009343";"2021/08/16 21:33:40";"00:02";"web"
"H000148168";"U0000010";"S0001335";"2021/06/21 23:18:22";"00:04";"web"
"H000131714";"U0000820";"S0008475";"2024/08/02 16:23:17";"00:01";"vinyl"
"H000144412";"U0000935";"S0003416";"2023/03/22 19:01:49";"00000000:02:12";"web"
"H000142738";"U0000262";"S0002916";"2021/10/20 22:30:47";"00000:04:51";"paper"
"H000140383";"U0000766";"S0006736";"2023/07/28 10:55:14";"00::04:55";"paper"
"H000130250";"U0000174";"S0005256";"2020/09/02 22:49:35";"00::02:39";"vinyl"
"H000141001";"U0000721";"S0008412";"2023/07/13 16:19:50";"00000000:03:08";"vinyl"
"H000145632";"U0000779";"S0003595";"2022/06/10 21:10:47";"00::02:31";"vinyl"
"H000148809";"U0000165";"S0008625";"2018/12/02 08:28:02";"000340";"paper"
"H000142601";"U0000701";"S0004210";"2018/10/21 19:16:49";"00000:04:39";"vinyl"
"H000145304";"U0000971";"S0006526";"2019/06/28 00:05:52";"00000:02:55";"vinyl"
"H000144000";"U0000416";"S0000255";"2022/06/02 16:42:22";"00000000:01:25";"web"
"H000135448";"U0000755";"S0009253";"2019/04/09 01:46:14";"00::02:54";"web"
"H000149476";"U0000798";"S0003252";"2022/12/04 05:23:28";"00:02";"paper"
"H000142066";"U0000076";"S0004090";"2018/09/21 11:30:38";"000210";"web"
"H000130635";"U0000663";"S0003531";"2022/02/15 12:29:03";"00::02:15";"paper"
"H000143298";"U0000949";"S0005898";"2018/12/30 23:24:22";"00000000:03:51";"vinyl"
"H000131118";"U0000604";"S0001393";"2020/07/14 05:32:03";"00::04:58";"web"
"H000133357";"U0000270";"S0003772";"2022/07/26 14:28:17";"000400";"vinyl"
"H000145760";"U0000125";"S0001339";"2021/01/08 18:53:38";"00:01";"vinyl"
"H000139718";"U0000335";"S0003000";"2020/12/28 12:05:34";"000121";"web"
"H000131546";"U0000748";"S0005049";"2020/05/24 01:35:08";"00::04:37";"paper"
"H000144990";"U0000384";"S0008084";"2021/09/10 01:01:56";"000226";"paper"
"H000136834";"U0000189";"S0006954";"2019/04/22 00:41:57";"000220";"web"
"H000149457";"U0000461";"S0000851";"2024/05/05 09:05:19";"00::04:28";"web"
"H000136114";"U0000804";"S0009232";"2024/02/09 20:18:29";"000221";"web"
"H000138491";"U0000124";"S0003981";"2024/08/25 08:14:45";"00::03:05";"paper"
"H000140370";"U0000636";"S0002012";"2024/01/21 11:56:52";"00:03";"web"
"H000148954";"U0000584";"S0009861";"2018/11/14 08:10:04";"00::03:45";"web"
"H000146356";"U0000732";"S0008490";"2021/08/17 23:34:28";"00:03";"paper"
"H000133016";"U0000401";"S0002737";"2021/11/17 02:38:34";"00000000:01:31";"web"
"H000132311";"U0000944";"S0002995";"2022/04/30 05:05:38";"000252";"paper"
"H000147177";"U0000447";"S0002998";"2023/05/16 21:00:59";"00::03:04";"web"
"H000139503";"U0000256";"S0001339";"2022/01/07 18:55:30";"00:03";"web"
"H000144888";"U0000022";"S0005251";"2021/05/20 11:57:14";"00::04:51";"paper"
"H000138088";"U0000782";"S0000927";"2022/05/23 09:48:38";"00:02";"vinyl"
"H000140240";"U0000640";"S0004541";"2024/06/27 02:33:47";"00::02:51";"vinyl"
"H000143872";"U0000260";"S0008090";"2021/12/20 14:07:22";"00:01";"web"
"H000131000";"U0000017";"S0002921";"2021/10/09 00:06:06";"00:04";"vinyl"
"H000140506";"U0000529";"S0002400";"2020/06/29 23:31:03";"00:03";"paper"
"H000134870";"U0000896";"S0008539";"2023/01/29 00:26:28";"000200";"web"
"H000146495";"U0000494";"S0000327";"2019/02/25 07:04:13";"000252";"paper"
"H000142396";"U0000130";"S0004684";"2021/10/07 19:35:39";"00:04";"vinyl"
"H000135552";"U0000236";"S0001317";"2023/09/03 18:57:59";"000315";"paper"
"H000139311";"U0000186";"S0002420";"2022/12/13 03:18:39";"00::03:58";"web"
"H000148278";"U0000667";"S0006393";"2023/04/22 23:35:08";"00000000:02:22";"web"
"H000146839";"U0000498";"S0004638";"2023/06/17 18:02:59";"00:02";"paper"
"H000147007";"U0000420";"S0007764";"2018/12/29 09:29:10";"00:03";"web"
"H000138465";"U0000644";"S0003198";"2018/06/06 01:08:00";"000313";"vinyl"
"H000141748";"U0000960";"S0009014";"2020/02/16 14:12:36";"00::02:42";"paper"
"H000139874";"U0000241";"S0000550";"2019/12/20 01:18:21";"00::01:27";"web"
"H000141839";"U0000779";"S0009720";"2021/12/01 01:16:58";"00:03";"web"
"H000137249";"U0000866";"S0001067";"2021/10/02 23:23:00";"00::04:29";"vinyl"
"H000134645";"U0000960";"S0006318";"2024/04/13 00:41:57";"00::02:44";"vinyl"
"H000142546";"U0000719";"S0005699";"2022/06/03 14:31:41";"000446";"paper"
"H000142015";"U0000659";"S0004435";"2019/02/22 09:31:24";"000433";"web"
"H000130358";"U0000719";"S0002978";"2024/01/12 19:18:16";"00::04:42";"web"
"H000131443";"U0000256";"S0003284";"2021/01/04 08:01:40";"00:03";"vinyl"
"H000145392";"U0000298";"S0004149";"2024/04/26 12:08:14";"00000:03:45";"vinyl"
"H000142547";"U0000167";"S0002199";"2018/07/18 03:44:00";"00000000:02:54";"web"
"H000142521";"U0000487";"S0004252";"2018/11/30 19:19:00";"000325";"paper"
"H000141151";"U0000480";"S0006154";"2024/01/04 02:16:51";"00000000:04:43";"web"
"H000137350";"U0000854";"S0004726";"2022/04/03 08:51:05";"000428";"paper"
"H000149116";"U0000882";"S0006804";"2024/07/18 07:15:29";"00000000:03:08";"web"
"H000145888";"U0000539";"S0001586";"2020/02/10 06:25:38";"00000:03:50";"paper"
"H000131593";"U0000335";"S0004835";"2019/10/27 16:04:38";"00000:03:04";"paper"
"H000139341";"U0000175";"S0002305";"2020/04/05 06:21:23";"00:01";"paper"
"H000149112";"U0000102";"S0009016";"2020/01/05 22:00:42";"00000000:02:25";"paper"
"H000131259";"U0000870";"S0007504";"2022/09/27 01:00:59";"00000:04:46";"vinyl"
"H000136671";"U0000805";"S0003128";"2022/07/10 08:15:08";"00000:04:51";"vinyl"
"H000141559";"U0000238";"S0009074";"2018/08/07 14:59:46";"00000000:02:39";"vinyl"
"H000143118";"U0000360";"S0009817";"2024/08/06 05:39:20";"00:03";"vinyl"
"H000134070";"U0000681";"S0003625";"2023/03/07 07:12:01";"00000:04:22";"vinyl"
"H000133969";"U0000253";"S0008419";"2022/01/04 06:56:24";"00000:01:53";"web"
"H000136761";"U0000500";"S0008952";"2018/06/22 05:36:24";"00::04:54";"vinyl"
"H000135404";"U0000830";"S0004675";"2023/12/14 21:44:18";"00:04";"web"
"H000141058";"U0000431";"S0001225";"2019/06/09 06:18:46";"00000:03:47";"vinyl"
"H000140320";"U0000185";"S0001485";"2019/09/24 08:43:00";"00::01:44";"web"
"H000138915";"U0000415";"S0004046";"2023/06/28 05:02:03";"00::04:08";"paper"
"H000148927";"U0000337";"S0009977";"2021/04/24 01:08:04";"00:03";"vinyl"
"H000148136";"U0000607";"S0009964";"2024/06/23 12:28:49";"00::01:52";"vinyl"
"H000135782";"U0000397";"S0001039";"2020/01/22 23:14:21";"00000:02:34";"web"
"H000140825";"U0000216";"S0007032";"2020/09/02 09:32:43";"00000:04:28";"paper"
"H000142611";"U0000200";"S0009338";"2019/10/05 20:04:45";"000419";"vinyl"
"H000137316";"U0000553";"S0007392";"2022/11/26 22:18:42";"00000:04:16";"web"
"H000148071";"U0000668";"S0008938";"2018/10/21 13:33:34";"00000000:04:12";"paper"
"H000134103";"U0000671";"S0003150";"2023/01/19 04:10:51";"00::03:47";"vinyl"
"H000137448";"U0000964";"S0009816";"2018/11/15 18:35:45";"00::03:43";"vinyl"
"H000144703";"U0000092";"S0007559";"2023/07/24 00:12:16";"00000000:03:09";"vinyl"
"H000130901";"U0000375";"S0005517";"2022/01/21 06:46:16";"00:02";"paper"
"H000144186";"U0000132";"S0003539";"2019/04/22 03:13:41";"000159";"paper"
"H000147766";"U0000581";"S0005137";"2023/09/16 12:47:15";"00:02";"vinyl"
"H000139452";"U0000642";"S0002456";"2022/06/08 01:44:51";"00::04:01";"vinyl"
"H000131453";"U0000741";"S0007923";"2018/11/07 20:38:51";"00000:01:37";"paper"
"H000148082";"U0000531";"S0008546";"2022/03/29 23:51:46";"00000:01:54";"paper"
"H000142180";"U0000372";"S0003597";"2022/05/29 09:15:44";"00::02:22";"paper"
"H000134770";"U0000547";"S0003158";"2024/03/19 03:38:38";"000336";"web"
"H000131612";"U0000202";"S0007603";"2023/11/20 01:32:33";"00000:04:28";"web"
"H000146262";"U0000731";"S0006131";"2024/03/29 05:44:33";"00000:01:39";"paper"
"H000148008";"U0000718";"S0003353";"2021/05/05 12:03:41";"00000:03:39";"web"
"H000132675";"U0000920";"S0009654";"2024/07/22 00:25:23";"00000000:02:02";"paper"
"H000134509";"U0000328";"S0003671";"2023/07/16 07:52:42";"00000000:02:29";"web"
"H000144165";"U0000177";"S0001087";"2018/08/23 05:40:28";"00::04:26";"paper"
"H000147611";"U0000851";"S0000111";"2021/08/05 03:10:27";"00000000:01:25";"vinyl"
"H000140313";"U0000476";"S0009426";"2018/09/20 11:07:08";"00000000:02:15";"web"
"H000138661";"U0000539";"S0008494";"2021/04/21 13:18:02";"000419";"vinyl"
"H000137908";"U0000616";"S0002040";"2022/05/29 07:43:48";"00000000:04:11";"web"
"H000144656";"U0000215";"S0006933";"2019/12/30 19:57:20";"00000:02:31";"vinyl"
"H000144612";"U0000360";"S0005077";"2022/10/22 01:31:39";"00000000:03:49";"web"
"H000149176";"U0000633";"S0009338";"2019/09/22 12:22:35";"00::03:28";"paper"
"H000148074";"U0000275";"S0005575";"2022/07/18 20:26:00";"00000000:04:23";"web"
"H000144591";"U0000239";"S0009505";"2018/07/05 14:00:56";"00000:02:19";"web"
"H000130311";"U0000929";"S0004446";"2024/07/21 16:06:26";"00::01:29";"web"
"H000140673";"U0000372";"S0008544";"2020/09/10 06:01:55";"000323";"paper"
"H000145576";"U0000430";"S0007504";"2020/09/28 03:08:11";"00::04:07";"web"
"H000140933";"U0000071";"S0006277";"2020/03/11 07:36:11";"00:03";"paper"
"H000147569";"U0000984";"S0008474";"2023/03/24 21:11:31";"00::01:21";"web"
